mapsmessaging.io,6 Hours,AAAA,2606:50c0:8000::153,
mapsmessaging.io,6 Hours,A,185.199.108.153,
autodiscover,6 Hours,A,159.196.207.135,
repository,6 Hours,A,159.196.207.135,
landing,6 Hours,CNAME,maps.cloud.kritikal.org.,
qx43vsf5d6sdo4kijd3feapgfkeqtuid._domainkey.mapsmessaging.io.sfbbxhkk._domainkey.mapsmessaging.io.6bxkdb2._domainkey,6 Hours,CNAME,qx43vsf5d6sdo4kijd3feapgfkeqtuid.dkim.amazonses.com.,
sc3taum4w5d4h7bsbvsftek3sfbbxhkk._domainkey.mapsmessaging.io.6bxkdb2._domainkey,6 Hours,CNAME,sc3taum4w5d4h7bsbvsftek3sfbbxhkk.dkim.amazonses.com.,
www,1 Hour,CNAME,maps-messaging.github.io.,
mapsmessaging.io,6 Hours,MX,10,inbound-smtp.us-east-1.amazonaws.com.
mail,6 Hours,MX,10, feedback-smtp.us-east-1.amazonses.com.
mapsmessaging.io,6 Hours,TXT,{{OSSRH-89383}},
mapsmessaging.io,6 Hours,TXT,google-site-verification=hKOJ77npQRDDtSRlrku3XJfGjRyaUc8IblZq7maqXKI,
mapsmessaging.io,1 Day,TXT,atlassian-domain-verification=xM3s1DWNQdPlVjYt7aayg3eGwFYmu8CpfyALkW1PCij4/QPr5WywDDmGzUX408mH,
_amazonses,6 Hours,TXT,g+rO/7q2arYv7A2R74gGU/8X9f4x/xsAMFKdlw7SscQ=,
_dmarc,6 Hours,TXT,v=DMARC1;p=quarantine;pct=100;fo=1,
_github-pages-challenge-Maps-Messaging,6 Hours,TXT,b7635a6edea83bebf4d9203fe9461e,
mail,6 Hours, TXT,"v=spf1 include:amazonses.com ~all",
discord, 6 Hours, A, 192.0.2.1, proxy:true
mapsmessaging.io,6 Hours,TXT,v=spf1 include:amazonses.com include:_spf.mlsend.com ~all
litesrv._domainkey,1 Hour,CNAME,litesrv._domainkey.mlsend.com.
mapsmessaging.io, 1 Hour, TXT, mailerlite-domain-verification=7a04edbe80c286a8f4a876afc1a8ccfce1731cb4


